order_id,order_date,customer_id,region,channel,product_category,quantity,unit_price,unit_cost,discount_pct,status,ship_date
O1001,2025-01-03,C001,North,Online,Software,2,120,45,0.05,Delivered,2025-01-04
O1002,2025-01-06,C002,South,Partner,Services,1,800,420,0,Delivered,2025-01-10
O1003,2025-01-12,C003,West,Online,Hardware,3,250,150,0.10,Delivered,2025-01-15
O1004,2025-01-17,C004,East,Direct,Software,4,95,35,0,Cancelled,
O1005,2025-01-25,C001,North,Online,Services,1,500,240,0,Delivered,2025-01-28
O1006,2025-02-02,C005,West,Partner,Hardware,2,300,190,0.05,Delivered,2025-02-09
O1007,2025-02-08,C002,South,Partner,Software,3,110,42,0,Delivered,2025-02-10
O1008,2025-02-14,C006,East,Online,Services,1,750,350,0.15,Delivered,2025-02-18
O1009,2025-02-22,C003,West,Online,Hardware,1,250,150,0,Returned,2025-02-26
O1010,2025-03-01,C007,North,Direct,Software,5,100,40,0.05,Delivered,2025-03-02
O1011,2025-03-07,C001,North,Online,Software,1,120,45,0,Delivered,2025-03-08
O1012,2025-03-12,C005,West,Partner,Services,2,550,270,0,Delivered,2025-03-16
O1013,2025-03-19,C008,South,Online,Hardware,4,225,140,0.10,Delivered,2025-03-25
O1014,2025-03-24,C004,East,Direct,Software,2,95,35,0,Delivered,2025-03-26
O1015,2025-04-03,C009,East,Online,Services,1,900,460,0,Delivered,2025-04-08
O1016,2025-04-09,C002,South,Partner,Hardware,2,275,165,0,Delivered,2025-04-11
O1017,2025-04-15,C007,North,Direct,Software,3,100,40,0.05,Delivered,2025-04-16
O1018,2025-04-21,C006,East,Online,Services,1,750,350,0,Cancelled,
O1019,2025-05-02,C010,West,Online,Hardware,3,260,155,0,Delivered,2025-05-06
O1020,2025-05-10,C003,West,Online,Software,2,115,44,0,Delivered,2025-05-11
O1021,2025-05-18,C008,South,Online,Services,1,650,310,0.05,Delivered,2025-05-22
O1022,2025-05-27,C001,North,Online,Software,4,120,45,0.10,Delivered,2025-05-30
O1023,2025-06-04,C011,East,Direct,Hardware,2,290,180,0,Delivered,2025-06-07
O1024,2025-06-11,C005,West,Partner,Services,1,550,270,0,Returned,2025-06-14
O1025,2025-06-20,C009,East,Online,Software,3,105,39,0,Delivered,2025-06-23
